item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
36327,Spoons,Kitchen and Dining,PICKING,PICKED,135,2019-01-08T19:38:08.457000+00:00,5,103,40424917,27.14
36327,Spoons,Kitchen and Dining,ORDERED,PICKING,135,2019-01-08T19:36:25.037000+00:00,4,58221,40424814,27.14
36327,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-08T03:26:04.123000+00:00,3,39671263,40366593,27.14
36327,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-08T23:07:41.484000+00:00,9,10727,40437490,27.14
36488,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-14T21:32:58.125000+00:00,6,232,40946521,31.06
36488,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-14T21:33:22.127000+00:00,7,24,40946545,31.06
36488,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-14T21:33:32.992000+00:00,8,10,40946555,31.06
36488,Spoons,Kitchen and Dining,PICKING,PICKED,135,2019-01-14T21:29:06.324000+00:00,5,94,40946289,31.06
36488,Spoons,Kitchen and Dining,ORDERED,PICKING,135,2019-01-14T21:27:32.689000+00:00,4,100613,40946195,31.06
36488,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-13T17:30:39.034000+00:00,3,40150962,40845582,31.06
36488,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-14T21:58:43.373000+00:00,9,1511,40948066,31.06
36684,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-24T19:47:21.237000+00:00,6,9532,41738895,111.06
36684,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-24T19:47:53.237000+00:00,7,32,41738927,111.06
36684,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-24T19:48:07.503000+00:00,8,14,41738941,111.06
36684,Spoons,Kitchen and Dining,PICKING,PICKED,117,2019-01-24T17:08:29.381000+00:00,5,0,41729363,111.06
36684,Spoons,Kitchen and Dining,ORDERED,PICKING,117,2019-01-24T17:08:29.366000+00:00,4,65176,41729363,111.06
36684,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-24T19:58:34.521000+00:00,9,627,41739568,111.06
36684,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-23T23:02:13.782000+00:00,3,41130877,41664187,111.06
37415,Forks,Kitchen and Dining,PICKED,PACKING,138,2019-01-28T20:42:53.217000+00:00,6,1445,41988881,19.3
37415,Forks,Kitchen and Dining,PACKING,PACKED,138,2019-01-28T20:44:07.805000+00:00,7,74,41988955,19.3
37415,Forks,Kitchen and Dining,PACKED,DROPPED,138,2019-01-28T20:44:42.018000+00:00,8,35,41988990,19.3
37415,Forks,Kitchen and Dining,PICKING,PICKED,135,2019-01-28T20:18:48.878000+00:00,5,46,41987436,19.3
37415,Forks,Kitchen and Dining,ORDERED,PICKING,135,2019-01-28T20:18:02.901000+00:00,4,73501,41987390,19.3
37415,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-28T21:03:38.249000+00:00,9,1136,41990126,19.3
37415,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-27T23:53:01.072000+00:00,3,41477992,41913889,19.3
37489,Spoons,Kitchen and Dining,PICKING,PICKED,117,2019-01-09T17:51:06.037000+00:00,5,0,40330764,39.06
37489,Spoons,Kitchen and Dining,PICKED,PACKING,117,2019-01-09T19:20:11.030000+00:00,6,5345,40336109,39.06
37489,Spoons,Kitchen and Dining,PACKING,PACKED,117,2019-01-09T19:20:49.038000+00:00,7,38,40336147,39.06
37489,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-09T16:59:38.977000+00:00,3,39898153,40327676,39.06
37489,Spoons,Kitchen and Dining,ORDERED,PICKING,117,2019-01-09T17:51:06.025000+00:00,4,3088,40330764,39.06
37489,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-09T19:34:17.823000+00:00,9,801,40336955,39.06
37489,Spoons,Kitchen and Dining,PACKED,DROPPED,117,2019-01-09T19:20:56.423000+00:00,8,7,40336154,39.06
38067,Pots,Kitchen and Dining,PICKED,PACKING,138,2019-01-02T23:47:56.341000+00:00,8,219,39418759,90
38067,Pots,Kitchen and Dining,PACKING,PACKED,138,2019-01-02T23:48:51.584000+00:00,9,55,39418814,90
38067,Pots,Kitchen and Dining,PACKED,DROPPED,138,2019-01-02T23:49:07.591000+00:00,10,16,39418830,90
38067,Pots,Kitchen and Dining,PICKING,PICKED,135,2019-01-02T23:44:17.813000+00:00,7,83,39418540,90
38067,Pots,Kitchen and Dining,ORDERED,PICKING,135,2019-01-02T23:42:54.191000+00:00,6,483,39418457,90
38067,Pots,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-02T23:34:51.639000+00:00,5,2866110,39417974,90
38067,Pots,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-03T00:05:51.361000+00:00,11,1004,39419834,90
38816,Forks,Kitchen and Dining,PICKING,PICKED,178,2019-01-22T21:14:46.945000+00:00,16,0,41058277,95.86
38816,Forks,Kitchen and Dining,ORDERED,PICKING,178,2019-01-22T21:14:46.932000+00:00,15,40661,41058277,95.86
38816,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-23T21:51:34.555000+00:00,20,3401,41146885,95.86
38816,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-22T09:57:05.039000+00:00,14,8330351,41017616,95.86
38816,Forks,Kitchen and Dining,PACKING,PACKED,122,2019-01-23T20:54:43.706000+00:00,18,23,41143474,95.86
38816,Forks,Kitchen and Dining,PICKED,PACKING,122,2019-01-23T20:54:20.545000+00:00,17,85174,41143451,95.86
